Région,Produits,2014,2015,2016,2017,2018
ADAMAOUA,Ananas,1581,1772,1923,2990,3259
ADAMAOUA,Arachide,18781,13495,18949,14483,14801
ADAMAOUA,Banane douce,1385,1404,1410,1407,1309
ADAMAOUA,Banane Plantain,6952,16377,24912,25126,23367
ADAMAOUA,Concombre,37441.88,42375,36798,39199,37239
ADAMAOUA,Gingembre,111,111,111,111,111
ADAMAOUA,Gombo,6076,6234,4908,4662,5158
ADAMAOUA,Haricot sec,6296,6785,4633,4947,3346
ADAMAOUA,Palmier à huile,456.83,388,111,111,111
ADAMAOUA,Igname,78414,80644,79752,82717,74129
ADAMAOUA,Macabo/Taro,9826,14262,28653,30212,35046
ADAMAOUA,Maïs,129841,165128,244970,227548,204793
ADAMAOUA,Manioc,242918,260526,26576,291301,298022
ADAMAOUA,Oignon,724,848,783,834,888
ADAMAOUA,Pastèque,111,111,111,111,111
ADAMAOUA,Patate douce,52349,55256,68332,72666,76371
ADAMAOUA,Piment,576.96,197,1136,626,688
ADAMAOUA,Pomme de terre,7570.66,8205.5,17520,18046,17396
ADAMAOUA,Riz paddy,1166.675,1072,923,854,1275
ADAMAOUA,Sésame,3106.9,3378.7,3308,3673,3967
ADAMAOUA,Soja,2154.07,2124,322,259,304
ADAMAOUA,Tomates,75690.4,81352.9,94146,87994,65644
ADAMAOUA,Niébé,355.26,178,522,619,301
ADAMAOUA,Voandzou,111,111,111,111,111
ADAMAOUA,Cacao,124.9,111,111,111,111
ADAMAOUA,Café robusta,111,111,111,111,111
ADAMAOUA,Mil/Sorgho,44941,52045,54789,47418,48841
CENTRE,Ananas,104027,114430,114846,123570,128513
CENTRE,Arachide,72922,70572,69397,71327,73327
CENTRE,Banane douce,429455,430876,39403,393645,395015
CENTRE,Banane Plantain,1189795,1254840,108061,113128,1115354
CENTRE,Concombre,68613,71847,82359,84994,89244
CENTRE,Gingembre,197.70,214.71,346,111,111
CENTRE,Gombo,4220.5,4330.2,6370,6483.0,6420.0
CENTRE,Haricot sec,3275,3475,3760,3912,3669
CENTRE,Palmier à huile,71032,82206,90493,111,111
CENTRE,Igname,147966,152173,161738,164967,169851
CENTRE,Macabo/Taro,324640,336117,363142,382902,382519
CENTRE,Maïs,215491,224446,241549,275708,285001
CENTRE,Manioc,1443890,1568288,1709709,1565843,1560001
CENTRE,Oignon,3600,3840,111,2240,2524
CENTRE,Pastèque,18255,19228,27372,26878,21014
CENTRE,Patate douce,91576,96660,105730,112436,120869
CENTRE,Piment,11507,13424,14882,8337,8866
CENTRE,Pomme de terre,857,901,985,1015,751
CENTRE,Riz paddy,10256,10524,18745,20393,20129
CENTRE,Sésame,2198,2146,7935,8491,9085
CENTRE,Soja,6563,7087,7935,8491,9085
CENTRE,Tomates,157188,172939,190450,190160,189580
CENTRE,Niébé,8476,9192,11989,12965,12446
CENTRE,Voandzou,709,709,1478,1482,1502
CENTRE,Cacao,170647,181944,111,111,111
CENTRE,Café robusta,10208,9693,111,111,111
CENTRE,Mil/Sorgho,111,111,111,111,111
EST,Ananas,9102,10357,11098,17253,17598
EST,Arachide,119138.1,134478,125862,134798,138963
EST,Banane douce,83205,90694,163074,162761,164210
EST,Banane Plantain,1100388,1155454,11397,1139048,1241390
EST,Concombre,31863.2,34412,41606,42854,44140
EST,Gingembre,111,111,111,111,111
EST,Gombo,159,163,153,160,165
EST,Haricot sec,1208,1282,1388,1429,1557
EST,Palmier à huile,8197,8418,11065,9630,9437
EST,Igname,77392,85131,76900,75998,78658
EST,Macabo/Taro,340094,352117,361419,396142,403193
EST,Maïs,121977,127046,127952,119575,123333
EST,Manioc,1187778,1306556,1302959,1129804,1216294
EST,Oignon,284,333,559,596,602
EST,Pastèque,1298,1367,1739,1838,1942
EST,Patate douce,22864,24133,27088,28806,30794
EST,Piment,1176.8,1271,1022,1175,1351
EST,Pomme de terre,111,111,111,111,111
EST,Riz paddy,285,358,736,801,825
EST,Sésame,12236,12970,14048,15917,18033
EST,Soja,111,8374,111,111,111
EST,Tomates,7308.4,7893.1,6641,6984,7242
EST,Niébé,111,111,111,111,111
EST,Voandzou,111,111,111,111,111
EST,Cacao,30005.1,32405.5,111,111,111
EST,Café robusta,6850.5,6953.3,111,111,111
EST,Mil/Sorgho,111,111,111,111,111
EXTREME NORD,Ananas,111,111,111,111,111
EXTREME NORD,Arachide,211296,182131,179861,194440,208051
EXTREME NORD,Banane douce,111,111,11,11,11
EXTREME NORD,Banane Plantain,111,111,111,111,111
EXTREME NORD,Concombre,3444,3703,4368,5200,6500
EXTREME NORD,Gingembre,111,111,111,111,111
EXTREME NORD,Gombo,30999,31790,32964,41783,50083
EXTREME NORD,Haricot sec,43164,45781,49292,51893,52031
EXTREME NORD,Palmier à huile,111,111,111,111,111
EXTREME NORD,Igname,111,111,111,111,111
EXTREME NORD,Macabo/Taro,1729,1741,1826,1926,1695
EXTREME NORD,Maïs,177760,177123,180874,196391,288883
EXTREME NORD,Manioc,6518,7449,7494,7789,6699
EXTREME NORD,Oignon,207621,219319,213791,27706,305477
EXTREME NORD,Pastèque,,,
EXTREME NORD,Patate douce,27190,30099,32701,34775,29016
EXTREME NORD,Piment,2526,2845,3246,5241,6791
EXTREME NORD,Pomme de terre,1056,1637,1809,1864,1850
EXTREME NORD,Riz paddy,120252,167806,186641,203051,164471
EXTREME NORD,Sésame,20745,22345,25072,25398,25728
EXTREME NORD,Soja,543,899,1029,183,2260
EXTREME NORD,Tomates,1411,1509,1755,1845,1901
EXTREME NORD,Niébé,108044,114673,152280,154673,166207
EXTREME NORD,Voandzou,9007,15854,17962,14485,27949
EXTREME NORD,Cacao,111,111,111,111,111
EXTREME NORD,Café robusta,111,111,111,111,111
EXTREME NORD,Mil/Sorgho,182589,709183,780364,775765,782257
LITTORAL,Ananas,65621,74659,80014,81614,81777
LITTORAL,Arachide,5093,4237,4309,4658,4938
LITTORAL,Banane douce,224935,149408,151696,151405,145651
LITTORAL,Banane Plantain,511163,542306,570416,583557,585308
LITTORAL,Concombre,27577,32106,35454,36872,38715
LITTORAL,Gingembre,30780,33450,47812,50251,52361
LITTORAL,Gombo,3199,3194,3387,3426,3698
LITTORAL,Haricot sec,13514,14464,15456,16272,14760
LITTORAL,Palmier à huile,45089,49573,59297,62626,99317
LITTORAL,Igname,63588,66472,68688,74123,74800
LITTORAL,Macabo/Taro,404208,422167,429587,452963,454775
LITTORAL,Maïs,164323,164603,167349,170729,174314
LITTORAL,Manioc,373412,423364,428809,45673,457260
LITTORAL,Oignon,760,671,760,810,824
LITTORAL,Pastèque,3647,3763,3942,7750,7820
LITTORAL,Patate douce,27908,30851,3557,35685,38861
LITTORAL,Piment,697,797,898,1023,1167
LITTORAL,Pomme de terre,422,648,722,743,758
LITTORAL,Riz paddy,34,47,53,57,59
LITTORAL,Sésame,-,-,-,,
LITTORAL,Soja,2789,4622,5283,6076,6150
LITTORAL,Tomates,3560,4538,4699,4805,4838
LITTORAL,Niébé,750,544,782,,
LITTORAL,Voandzou,696,690,900,973,990
LITTORAL,Cacao,19269,21003,111,111,111
LITTORAL,Café robusta,8400,8500,111,111,111
LITTORAL,Mil/Sorgho,111,111,111,111,111
LITTORAL,Poivre,280,300,111,111,111
LITTORAL,Caoutchouc,7334,8532,111,111,111
NORD,Ananas,202493,159187,169750,164827,179661
NORD,Arachide,327,219,221,329,321
NORD,Banane douce,567,594,631,2505,3903
NORD,Banane Plantain,-,-,-,,
NORD,Concombre,-,-,-,,
