Produits,Mesure,2013,2014,2015,2016,2017
CACAO,Production (tonnes),275000,281196,308753,330412,331149
CACAO,Exportation (tonnes),192836,192637,265306,111,111
CACAO,Cours mondiaux (en FCFAKG),1386,1732,1756,111,111
CAFE ARABICA,Production (tonnes),7000,8020,6504,7024,7006
CAFE ARABICA,Exportation (tonnes),2228,2434,2004,111,111
CAFE ARABICA,Cours mondiaux (en FCFAKG),2070,2975,2227,111,111
CAFE ROBUSTA,Production (tonnes),31127,37115,27094,29762,111
CAFE ROBUSTA,Exportation (tonnes),19280,28171,31163,111,111
CAFE ROBUSTA,Cours mondiaux (en FCFAKG),1483,1553,1391,111,111
CAOUTCHOUC,Production (tonnes),49013,51559,46920,41923,111
CAOUTCHOUC,Exportation (tonnes),54068,57150,48902,111,111
CAOUTCHOUC,Cours mondiaux (en FCFAKG),1216,812,1391,111,111
COTON GRAINE,Production (tonnes),237665,274286,289994,111,111
COTON FIBRE,Production (tonnes),88854,98375,107585,111,111
COTON FIBRE,Exportation (tonnes),91532,90854,119075,111,111
COTON FIBRE,Cours mondiaux (en FCFAKG),868,799,920,111,111
BANANE D'EXPORTATION,Production (tonnes),280000,343616,363029,111,111
BANANE D'EXPORTATION,Exportation (tonnes),261808,265276,2863436,111,111
BANANE D'EXPORTATION,Cours mondiaux (en FCFAKG),569,554,111,111,111
HUILE DE PALME,Production industrielle (tonnes),121534,127321,140212,111,111
HUILE DE PALME,Production artisanale (tonnes),199187,211138,227755,111,111
