Groupes de produits,Cultures,2014,2015,2016,2017
Céréales,Mais,190,173,152,185
Céréales,Riz paddy,204,207,206,
Céréales,Mil/Sorgho,148,171,101,176
Tubercules,Igname,516,516,515,
Tubercules,Manioc,169,134,213,120
Tubercules,Macabo/Taro,220,245,216,391
Tubercules,Patate douce,106,108,107,
Tubercules,Pomme de terre,285,387,266,466
Bananes,Banane douce,100,104,100,
Bananes,Banane Plantain,179,180,179,
Fruits et légumes,Ananas,210,210,208,
Fruits et légumes,Papaye,156,154,153,
Fruits et légumes,Pasteque,456,457,453,
Fruits et légumes,Tomate,240,245,240,
Fruits et légumes,Concombre,750,755,751,
Fruits et légumes,Oignon,380,395,385,
Oléagineux,Arachide,495,490,491,
Oléagineux,Palmier à huile,631,635,630,
Légumineuses et Epices,Soja,353,363,358,
Légumineuses et Epices,Gingembre,114,115,112,
Légumineuses et Epices,Gombo,424,426,430,
Légumineuses et Epices,Haricot,410,412,424,
Légumineuses et Epices,Piment,343,358,320,
Légumineuses et Epices,Niébé,380,370,377,
Légumineuses et Epices,Pistache,657,660,652,
Légumineuses et Epices,Voandzou,215,210,210,
