Groupes,Cultures,2015,2016,2017,2018
Céréales,Mais,2070572,2164003,2187570,2199127
Céréales,Riz,278281,359320,339076,313678
Céréales,Mil/Sorgho,1040902,1095779,1138243,1232490
Tubercules,Igname,602228,618136,600614,587662
Tubercules,Manioc,5224735,5285031,5290061,5317834
Tubercules,Macabo/Taro,1757249,1803667,1861269,1785009
Tubercules,Patate douce,391905,440012,485979,519903
Tubercules,Pomme de terre,346332,377257,399621,408525
Bananes,Banane douce,1082800,1187547,1046740,1013566
Bananes,Banane Plantain,4677344,4832717,4396602,4503078
Fruits et légumes,Ananas,296047,227566,244963,251831
Fruits et légumes,Pasteque,73793,76745,79930,76728
Fruits et légumes,Tomate,1020601,1182114,1087669,1144517
Fruits et légumes,Concombre,240227,282773,,
Fruits et légumes,Oignon,300335,303781,334270,374217
Oléagineux,Arachide,608731,626150,627722,667285
Oléagineux,Palmier à huile,364039,419970,386997,
Oléagineux,Sésame,60984,68422,74017,80302
Oléagineux,Soja,21405,24558,27233,28655
Légumineuses et Epices,Gingembre,55428,79273,84694,87266
Légumineuses et Epices,Gombo,77935,80780,90717,100370
Légumineuses et Epices,Haricot,362800,390816,397367,388579
Légumineuses et Epices,Piment,52569,58903,61033,68862
Légumineuses et Epices,Niébé,147739,195408,195135,200925
Légumineuses et Epices,Voandzou,24568,27864,27742,34650
