LIBELLES,2011,2012,2013,2014,2015
Céréales,Maïs,1572067,1810300,1948019,2062952,2148679
Céréales,Riz paddy,174089,181817,189890,201090,252980
Céréales,Mil/Sorgho,1240970,1425895,1638377,1735040,1911139
Racines et tubercules,Manioc,4082903,4287177,4501671,4600707,4990707
Racines et tubercules,Macabo/Taro,1568804,1614103,1660710,1697245,1757249
Racines et tubercules,Igname,517069,598459,559366,571672,587926
Racines et tubercules,Patate douce,307955,338135,347490,355135,374851
Racines et tubercules,Pomme de terre,196687,210015,224246,224562,237779
Bananes Fruits et Légumes,Banane plantain,3425757,3569318,3718895,3834180,3916063
Bananes Fruits et Légumes,Banane douce,1394675,1471006,1551517,1664777,1791494
Bananes Fruits et Légumes,Oignon,184032,198024,213080,212360,111
Bananes Fruits et Légumes,Tomate,853060,899795,928110,950385,111
Bananes Fruits et Légumes,Piment,33310,37307,41784,45543,53132
Bananes Fruits et Légumes,Pastèque,46113,50108,54449,55466,58423
Bananes Fruits et Légumes,Mangue,4082902,4368705,4674514,5001730,5351850
Bananes Fruits et Légumes,Gombo,63533,69060,75068,75960,77935
Bananes Fruits et Légumes,Gingembre,40531,44989,49940,51039,55428
Bananes Fruits et Légumes,Haricots,366463,347324,329185,340377,361140
Bananes Fruits et Légumes,Arachides,564230,643222,711946,736862,772230
