Groupes,Cultures,2014,2015,2016,2017,2018
Céréales,Mais,1110400,1189547,1207013,1210900,1268372
Céréales,Riz,126901,226779,276175,256087,198855
Céréales,Mil/Sorgho,849951,937213,957888,767855,922341
Tubercules,Igname,51846,54321,56365,62705,65367
Tubercules,Manioc,321165,345827,374826,555115,561242
Tubercules,Macabo/Taro,220562,235295,241510,249820,241991
Tubercules,Patate douce,61599,65948,71886,65545,69750
Tubercules,Pomme de terre,14641,22499,23794,51073,47368
Bananes,Banane douce,66385,67956,72359,68820,64255
Bananes,Banane Plantain,301645,313113,337416,456976,466482
Fruits et légumes,Ananas,8261,8718,9511,12138,11431
Fruits et légumes,Pasteque,2788,2908,3182,3970,4744
Fruits et légumes,Tomate,76304,82370,92626,65572,68788
Fruits et légumes,Concombre,237768,262483,299972,,
Fruits et légumes,Oignon,24486,25534,25075,36408,34094
Oléagineux,Arachide,413951,435556,453826,462205,516821
Oléagineux,Palmier à huile,120769,126969,142211,,
Oléagineux,Sésame,43326,47848,52120,53151,56361
Oléagineux,Soja,9719,16035,17861,20581,20462
Légumineuses et Epices,Gingembre,5534,5809,8066,11312,11438
Légumineuses et Epices,Gombo,28750,29514,33377,38195,39951
Légumineuses et Epices,Haricot,269788,286996,300153,329867,316881
Légumineuses et Epices,Piment,21780,24963,27155,41887,39299
Légumineuses et Epices,Niébé,345527,400844,514739,395491,398795
Légumineuses et Epices,Voandzou,17565,31465,34648,24347,35689
