Produit,Année,Mesure,ADAMAOUA,CENTRE,EST,EXTREME NORD,LITTORAL,NORD,NORD OUEST,OUEST,SUD,SUD OUEST,Total
Palmier à huile,2014,Superficie (ha),,,,,,,,,
Palmier à huile,2014,Production (t),456.83,71032,8197,111,86089,111,38774,6103,12845,119289,111
Palmier à huile,2015,Superficie (ha),,,,,,,,,
Palmier à huile,2015,Production (t),388,82206,8418,111,91,111,39818,6267,13190,122498,111
Palmier à huile,2016,Superficie (ha),,,,,,,,,
Palmier à huile,2016,Production (t),111,111,111,111,111,111,111,111,111,111,111
Palmier à huile,2017,Superficie (ha),,,,,,,,,
Palmier à huile,2017,Production (t),111,78741,9630,111,82626,111,60353,6449,13408,135791,386997
Palmier à huile,2018,Superficie (ha),,,,,,,,,
Palmier à huile,2018,Production (t),111,85857,9437,111,99317,111,54229,4850,,60810,314500
