Produit,Année,Mesure,ADAMAOUA,CENTRE,EST,EXTREME NORD,LITTORAL,NORD,NORD OUEST,OUEST,SUD,SUD OUEST,Total
Arachide,2014,Superficie (ha),8912,43841,84171,118701,2861,113756,2739,2739,15355,17537,413954
Arachide,2014,Production (t),15864,78041,242799,211269,5093,202493,4876,4876,27333,31218,736867
Arachide,2015,Superficie (ha),9334,46238,85371,130318,3032,113901,2912,2912,16156,21851,435544
Arachide,2015,Production (t),13045,64622,157384,182131,4237,159750,4069,4069,22580,30539,608714
Arachide,2016,Superficie (ha),8931,112125,93908,119908,2873,113166,2752,2752,15400,18128,483294
Arachide,2016,Production (t),13397,69397,163074,179861,4309,169750,4128,4128,23099,27192,626150
Arachide,2017,Superficie (ha),14801,71327,762933,130497,4230,169750,4128,4128,21399,21399,626205
Arachide,2017,Production (t),14483,71327,162761,194440,4658,164827,4458,4458,31020,7710,627722
Arachide,2018,Superficie (ha),14801,71327,162761,194440,4658,164827,4458,4458,31020,7710,627722
Arachide,2018,Production (t),14801,71327,162761,194440,4658,164827,4458,4458,31020,7710,627722
